"in", 1, 2, 3, 4
3.137, 1, 1, 1, 1
3.135, 1, 1, 1, 1
3.146, 1, 1, 1, 1
3.141, 1, 1, 1, 1
3.143, 1, 1, 1, 1
3.15,  1, 1, 1, 1
3.152, 1, 1, 1, 1
3.149, 1, 1, 1, 1
3.149, 1, 1, 1, 1
3.146, 1, 1, 1, 1
3.146, 1, 1, 1, 1
3.131, 1, 1, 1, 1
3.137, 1, 1, 1, 1
3.134, 1, 1, 1, 1
3.125, 1, 1, 1, 1
3.116, 1, 1, 1, 1
3.118, 1, 1, 1, 1
3.147, 1, 1, 1, 1
3.161, 1, 1, 1, 1
3.158, 1, 1, 1, 1
3.186, 1, 1, 1, 1
3.169, 1, 1, 1, 1
3.167, 1, 1, 1, 1
3.173, 1, 1, 1, 1
3.174, 1, 1, 1, 1
3.159, 1, 1, 1, 1
3.152, 1, 1, 1, 1
3.138, 1, 1, 1, 1
3.138, 1, 1, 1, 1
3.14,  1, 1, 1, 1
3.139, 1, 1, 1, 1
3.137, 1, 1, 1, 1
3.143, 1, 1, 1, 1
3.153, 1, 1, 1, 1
3.149, 1, 1, 1, 1
3.088, 0, 1, 1, 1
3.074, 0, 1, 1, 1
3.112, 0, 1, 1, 1
3.092, 0, 1, 1, 1
3.105, 0, 1, 1, 1
3.099, 0, 1, 1, 1
3.092, 0, 1, 1, 1
3.142, 0, 1, 1, 1
3.12, 0, 1, 1, 1
3.108, 0, 1, 1, 1
3.105, 0, 1, 1, 1
3.098, 0, 1, 1, 1
3.093, 0, 1, 1, 1
3.094, 0, 1, 1, 1
3.094, 0, 1, 1, 1
3.098, 0, 1, 1, 1
3.094, 0, 1, 1, 1
3.099, 0, 1, 1, 1
3.107, 0, 1, 1, 1
3.095, 0, 1, 1, 1
3.105, 0, 1, 1, 1
0.919, 0, 1, 1, 1 
0.911, 0, 1, 1, 1 
0.912, 0, 1, 1, 1 
0.914, 0, 1, 1, 1 
0.914, 0, 1, 1, 1 
0.91,  0, 1, 1, 1 
0.913, 0, 1, 1, 1 
0.916, 0, 1, 1, 1 
0.913, 0, 1, 1, 1 
0.914, 0, 1, 1, 1 
0.914, 0, 1, 1, 1 
0.916, 0, 1, 1, 1 
0.91,  0, 1, 1, 1 
0.911, 0, 1, 1, 1 
0.912, 0, 1, 1, 1 
0.915, 0, 1, 1, 1 
0.909, 0, 1, 1, 1 
0.911, 0, 1, 1, 1 
0.913, 0, 1, 1, 1 
0.913, 0, 1, 1, 1 
0.911, 0, 1, 1, 1 
0.912, 0, 1, 1, 1 
0.913, 0, 1, 1, 1 
0.915, 0, 1, 1, 1 
0.911, 0, 1, 1, 1 
0.91,  0, 1, 1, 1 
0.914, 0, 1, 1, 1 
0.909, 0, 1, 1, 1 
0.908, 0, 1, 1, 1 
0.908, 0, 1, 1, 1 
0.915, 0, 1, 1, 1 
0.907, 0, 1, 1, 1 
0.91,  0, 1, 1, 1 
0.912, 0, 1, 1, 1 
0.916, 0, 1, 1, 1 
0.888, 0, 1, 1, 0
0.39, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.394, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.39, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.394, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.388, 0, 1, 0, 0
0.387, 0, 1, 0, 0
0.39, 0, 1, 0, 0
0.388, 0, 1, 0, 0
0.388, 0, 1, 0, 0
0.387, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.391, 0, 1, 0, 0
0.387, 0, 1, 0, 0
0.388, 0, 1, 0, 0
0.39, 0, 1, 0, 0
0.392, 0, 1, 0, 0
0.394, 0, 1, 0, 0
0.39, 0, 1, 0, 0
0.246, 0, 0, 0, 0
0.247, 0, 0, 0, 0
0.247, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.247, 0, 0, 0, 0
0.248, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.245, 0, 0, 0, 0
